title,price,rating,reviews,availability,link
Riders Republic PlayStation 5 Standard Edition,,4.4 out of 5 stars,"(1,507)",In Stock,https://www.amazon.com/Riders-Republic-PlayStation-5-Standard/dp/B08HTP8BKG/ref=sr_1_11?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-11
Nintendo Switch 2 System,,4.7 out of 5 stars,"(2,282)",Not Available,https://www.amazon.com/Nintendo-Switch-2-System/dp/B0F3GWXLTS/ref=sr_1_12?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-12
$10 -PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"(276,628)",Available now,https://www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00GAC1D2G/ref=sr_1_13?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-13
PlayStation DualSense™ Wireless Controller – Chroma Teal,,4.7 out of 5 stars,"(21,082)",In Stock,https://www.amazon.com/PlayStation-DualSenseTM-Wireless-Controller-Gaming-Console/dp/B0DHY8DC6R/ref=sr_1_14?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-14
PlayStation DualSense Wireless Controller - Volcanic Red,,4.8 out of 5 stars,"(2,966)",In Stock,https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Gaming-Console/dp/B0CJT9WCRD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-15
Mouse: P.I. For Hire: The Mouseburg Edition - PlayStation 5,,Previous set of slides,,"This item will be released on July 10, 2026.",https://www.amazon.com/Mouse-P-I-Hire-Mouseburg-PlayStation-5/dp/B0GTRBDG18/ref=sr_1_16?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-16
"PS5/Slim Cooling Station for PS5 Disc&Digital, PS5 Cooling Stand with Dual Controller Charging for PlayStation 5 Console, Multi-Function PlayStation 5 Accessories Controller Charger with Storage Slot",,4.5 out of 5 stars,(169),In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjM4MDM4OTU2ODU3NDgxOjE3NzU0Njk2NDQ6c3BfYXRmX25leHQ6MzAxMjEwMTcyNDM0NDAyOjowOjo&url=%2FController-Charging-PlayStation-Multi-Function-Accessories%2Fdp%2FB0DY7S81L7%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.okuDg5cK9VLoMm3f7xnY7un_LJ8fnkrfhVi4Lh-XnzeyDP81HTnAynjOPM9nm-wdUg5RDOvGDd-kyDlx_SY9iNLbgm9SdW1Z_qOCqAKk3eYTqI5V98VgkSUK53cIzcdiNDSsbSgnrVbuDr4rdV76WHFgb21s6F3nRD_v_KSB7uWBdOxngqgM3D1BOLZzC-WT2K1zlaZdP-q4AYWgDb12HU5_qECKsWrD1PqVHz70FO4.vPpNzs6DoJFJtebQbZQmC1uehjQDHdz6s-EtuvPm684%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1775469644%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Carry Case designed for Playstation Portal remote player for PS5 Console holds accessories, Travel and Storage Protection for headset charger and more WHITE/BLACK - Easy Clean Case Gift box Edition",,4.7 out of 5 stars,"(3,918)",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjM4MDM4OTU2ODU3NDgxOjE3NzU0Njk2NDQ6c3BfYXRmX25leHQ6MzAwMTExNjAyOTM4NDAyOjowOjo&url=%2Fdesigned-Playstation-Console-accessories-Protection-5%2Fdp%2FB0CNQ3Q7PG%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.okuDg5cK9VLoMm3f7xnY7un_LJ8fnkrfhVi4Lh-XnzeyDP81HTnAynjOPM9nm-wdUg5RDOvGDd-kyDlx_SY9iNLbgm9SdW1Z_qOCqAKk3eYTqI5V98VgkSUK53cIzcdiNDSsbSgnrVbuDr4rdV76WHFgb21s6F3nRD_v_KSB7uWBdOxngqgM3D1BOLZzC-WT2K1zlaZdP-q4AYWgDb12HU5_qECKsWrD1PqVHz70FO4.vPpNzs6DoJFJtebQbZQmC1uehjQDHdz6s-EtuvPm684%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1775469644%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
PlayStation 4,,4.5 out of 5 stars,"(13,813)",Only 1 left in stock - order soon.,https://www.amazon.com/PlayStation-500GB-Console-Model-Discontinued-4/dp/B00BGA9WK2/ref=sr_1_19?dib=eyJ2IjoiMSJ9.okuDg5cK9VLoMm3f7xnY7un_LJ8fnkrfhVi4Lh-XnzeyDP81HTnAynjOPM9nm-wdUg5RDOvGDd-kyDlx_SY9iNLbgm9SdW1Z_qOCqAKk3eYTqI5V98VgkSUK53cIzcdiNDSsbSgnrVbuDr4rdV76WHFgb21s6F3nRD_v_KSB7uWBdOxngqgM3D1BOLZzC-WT2K1zlaZdP-q4AYWgDb12HU5_qECKsWrD1PqVHz70FO4.vPpNzs6DoJFJtebQbZQmC1uehjQDHdz6s-EtuvPm684&dib_tag=se&keywords=playstation+5&qid=1775469644&sr=8-19
PlayStation®5 console – 1TB,,4.7 out of 5 stars,(613),Not Available,https://www.amazon.com/PlayStation%C2%AE5-console-1TB-PlayStation-5/dp/B0FRGTYSL5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.okuDg5cK9VLoMm3f7xnY7un_LJ8fnkrfhVi4Lh-XnzeyDP81HTnAynjOPM9nm-wdUg5RDOvGDd-kyDlx_SY9iNLbgm9SdW1Z_qOCqAKk3eYTqI5V98VgkSUK53cIzcdiNDSsbSgnrVbuDr4rdV76WHFgb21s6F3nRD_v_KSB7uWBdOxngqgM3D1BOLZzC-WT2K1zlaZdP-q4AYWgDb12HU5_qECKsWrD1PqVHz70FO4.vPpNzs6DoJFJtebQbZQmC1uehjQDHdz6s-EtuvPm684&dib_tag=se&keywords=playstation+5&qid=1775469644&sr=8-20
